result_dir,object,generated_candidate_count,closure_valid_count,high_quality_threshold,mode,num_views,anchors_per_view,unique_grasp_count,score_min,score_max,score_mean,score_median,score_std,score_p10,score_p25,score_p50,score_p75,score_p90,score_p95,score_ge_0_count,score_ge_0_ratio,score_ge_0_13_count,score_ge_0_13_ratio,score_ge_0_5_count,score_ge_0_5_ratio,score_ge_0_8_count,score_ge_0_8_ratio,score_ge_0_9_count,score_ge_0_9_ratio,score_ge_0_95_count,score_ge_0_95_ratio,high_quality_yield
results\formal-v1.2\juxing,model\juxing.ply,7504,7475,0.13,cone,5,3,7121,0.0,0.643201720954474,0.18452754339591843,0.17056147884960757,0.10880470053011666,0.06301735505395852,0.09619527244341278,0.17056147884960757,0.24889221504560194,0.3262588623423533,0.36680476108611726,7121,1.0,4457,0.6258952394326639,120,0.016851565791321445,0,0.0,0,0.0,0,0.0,0.5939498933901919
results\formal-v1.2\yuanzhu,model\yuanzhu.ply,4132,3997,0.13,cone,5,3,3948,0.0,0.5773044636393923,0.17498741686108524,0.15647867842860957,0.1146479956397333,0.03314952828580566,0.08610388465937051,0.15647867842860957,0.2685289319820798,0.3387218929571252,0.36532737141159466,3948,1.0,2338,0.5921985815602837,11,0.002786220871327254,0,0.0,0,0.0,0,0.0,0.5658276863504357
results\formal-v1.2\sanjiao,model\sanjiao.ply,8757,8599,0.13,cone,5,3,8415,0.0,0.45318471093844354,0.0801135977763231,0.06599068485571784,0.08470493851369146,0.0,0.0,0.06599068485571784,0.12540498336679348,0.18528587900561982,0.2273034481707745,8415,1.0,2012,0.23909685086155674,0,0.0,0,0.0,0,0.0,0,0.0,0.2297590499029348
results\formal-v1.2\huixing,model\huixing.ply,3849,3730,0.13,cone,5,3,3730,0.0,0.592149801726435,0.14385231268670645,0.09725197929928235,0.13331090161400413,0.0,0.05676050536494138,0.09725197929928235,0.21663237131576007,0.3520063134710603,0.42290127824620344,3730,1.0,1341,0.35951742627345845,65,0.01742627345844504,0,0.0,0,0.0,0,0.0,0.34840218238503506
results\formal-v1.2\shuilongtou,model\shuilongtou.ply,12197,11923,0.13,cone,5,3,5923,0.0,0.4495230153069482,0.13368398174239446,0.12572467014304675,0.08578829817660942,0.0,0.07329474236538369,0.12572467014304675,0.18857215620330472,0.24992266526091492,0.2848376043006932,5923,1.0,2839,0.4793179132196522,0,0.0,0,0.0,0,0.0,0,0.0,0.23276215462818725
results\formal-v1.2\cat,model\colmap\cat.ply,5527,5237,0.13,cone,5,3,4976,0.0,0.3866012772285816,0.04496726348687906,0.0,0.06891504199132156,0.0,0.0,0.0,0.08061348705782415,0.14824372200058764,0.18849062962769358,4976,1.0,645,0.12962218649517684,0,0.0,0,0.0,0,0.0,0,0.0,0.1166998371630179
