result_dir,object,generated_candidate_count,scored_candidate_count,refinement_input_count,closure_geometry_rejected,closure_pose_collision_rejected,closure_valid_count,unique_grasp_count,high_quality_threshold,high_quality_count,high_quality_ratio,high_quality_yield,closure_acceptance_rate,merge_retention_rate,mean_score,top1_score,top20_mean_score,generation_s,scoring_s,merge_s,total_s
results\formal-v1.2\juxing,model\juxing.ply,7504,7504,7504,0,29,7475,7121,0.13,4457,0.6258952394326639,0.5939498933901919,0.99613539445629,0.9526421404682274,0.18452754339591915,0.643201720954474,0.6242622628447799,463.67314160009846,5.538273100042716,100.07991060009226,635.1435190001503
results\formal-v1.2\yuanzhu,model\yuanzhu.ply,4132,4132,4132,0,135,3997,3948,0.13,2338,0.5921985815602837,0.5658276863504357,0.9673281703775412,0.9877408056042032,0.17498741686108546,0.5773044636393923,0.5072665953388202,510.64465280016884,2.982593699824065,29.98934750002809,582.864755900111
results\formal-v1.2\sanjiao,model\sanjiao.ply,8757,8757,8757,0,158,8599,8415,0.13,2012,0.23909685086155674,0.2297590499029348,0.9819572913098092,0.9786021630422143,0.08011359777632326,0.45318471093844354,0.4446044661051065,768.5839255999308,6.99165129987523,136.39853030000813,1030.5114569000434
results\formal-v1.2\huixing,model\huixing.ply,3849,3849,3849,0,119,3730,3730,0.13,1341,0.35951742627345845,0.34840218238503506,0.9690828786697844,1.0,0.14385231268670665,0.592149801726435,0.5713835777945053,518.6941764000803,2.7872939999215305,27.520669399993494,585.1224514001515
results\formal-v1.2\shuilongtou,model\shuilongtou.ply,12197,12197,12197,0,274,11923,5923,0.13,2839,0.4793179132196522,0.23276215462818725,0.9775354595392309,0.4967709469093349,0.13368398174239432,0.4495230153069482,0.4238023716783633,555.565365599934,10.64968749997206,130.24249690002762,863.1821546000428
results\formal-v1.2\cat,model\colmap\cat.ply,5527,5527,5527,0,290,5237,4976,0.13,645,0.12962218649517684,0.1166998371630179,0.9475303057716664,0.9501623066641207,0.04496726348687904,0.3866012772285816,0.33646031547351674,664.4044463001192,4.144263099879026,48.467806400032714,785.175559299998
