result_dir,object,generated_candidate_count,scored_candidate_count,refinement_input_count,closure_geometry_rejected,closure_pose_collision_rejected,closure_valid_count,unique_grasp_count,high_quality_threshold,high_quality_count,high_quality_ratio,high_quality_yield,closure_acceptance_rate,merge_retention_rate,mean_score,top1_score,top20_mean_score,generation_s,scoring_s,merge_s,total_s
results\ablation-v1.2\juxing_global,model\juxing.ply,288,288,288,0,7,281,281,0.13,185,0.6583629893238434,0.6423611111111112,0.9756944444444444,1.0,0.1902093473524065,0.5625346023357101,0.5144830874472348,17.905605499865487,0.20695649995468557,0.1895232000388205,21.521135700168088
results\ablation-v1.2\juxing_normal,model\juxing.ply,536,536,536,0,1,535,535,0.13,287,0.5364485981308411,0.5354477611940298,0.9981343283582089,1.0,0.1685024366198601,0.3730203390479007,0.35355612432654937,35.15475710015744,0.3869735999032855,0.5754831999074668,41.127870599972084
results\ablation-v1.2\juxing_cone,model\juxing.ply,2647,2647,2647,0,11,2636,2615,0.13,1354,0.5177820267686425,0.511522478277295,0.9958443520967133,0.9920333839150227,0.15843460899135117,0.37549377339940204,0.36524921411393346,187.87555149989203,1.9666559998877347,12.982360700145364,226.45168059994467
results\ablation-v1.2\shuilongtou_global,model\shuilongtou.ply,472,472,472,0,5,467,266,0.13,147,0.5526315789473685,0.3114406779661017,0.989406779661017,0.569593147751606,0.14017015736730068,0.3449341147491375,0.3087639880143801,21.41723640006967,0.39650360005907714,0.2901561998296529,29.58115639979951
results\ablation-v1.2\shuilongtou_normal,model\shuilongtou.ply,949,949,949,0,29,920,470,0.13,224,0.4765957446808511,0.23603793466807166,0.9694415173867229,0.5108695652173914,0.13490140565354714,0.4325545573853536,0.33653468074708326,50.602295599877834,0.826781400013715,0.9069113000296056,66.87999970000237
results\ablation-v1.2\shuilongtou_cone,model\shuilongtou.ply,4726,4726,4726,0,184,4542,2336,0.13,1115,0.4773116438356164,0.23592890393567498,0.9610664409648751,0.5143108762659622,0.1309646511173587,0.4325545573853536,0.39074571797176005,259.29833590006456,4.10264590010047,19.89978799992241,355.29989710007794
results\ablation-v1.2\cat_global,model\colmap\cat.ply,284,284,284,0,11,273,273,0.13,57,0.2087912087912088,0.2007042253521127,0.9612676056338029,1.0,0.062674578763075,0.4298259531607112,0.3145574822363277,32.50792340002954,0.2228787001222372,0.17225680011324584,37.31916070007719
results\ablation-v1.2\cat_normal,model\colmap\cat.ply,459,459,459,0,29,430,430,0.13,91,0.2116279069767442,0.19825708061002179,0.9368191721132898,1.0,0.05111738628985966,0.333413382742828,0.2554937789822356,54.3823702998925,0.33245990006253123,0.38949069986119866,61.2073801998049
results\ablation-v1.2\cat_cone,model\colmap\cat.ply,2256,2256,2256,0,109,2147,2147,0.13,423,0.19701909641360038,0.1875,0.9516843971631206,1.0,0.05414984597983677,0.38227433485315654,0.33108735455797805,277.1550098999869,1.6689540001098067,8.533097499981523,314.55980110005476
