result_dir,object,generated_candidate_count,closure_valid_count,high_quality_threshold,mode,num_views,anchors_per_view,unique_grasp_count,score_min,score_max,score_mean,score_median,score_std,score_p10,score_p25,score_p50,score_p75,score_p90,score_p95,score_ge_0_count,score_ge_0_ratio,score_ge_0_13_count,score_ge_0_13_ratio,score_ge_0_5_count,score_ge_0_5_ratio,score_ge_0_8_count,score_ge_0_8_ratio,score_ge_0_9_count,score_ge_0_9_ratio,score_ge_0_95_count,score_ge_0_95_ratio,high_quality_yield
results\ablation-v1.2\juxing_global,model\juxing.ply,288,281,0.13,global,3,2,281,0.0,0.5625346023357101,0.19020934735240644,0.16377024614392588,0.13221653439995493,0.04147195799539525,0.1089039473446052,0.16377024614392588,0.24137476766803392,0.39252911091234693,0.49481815258243805,281,1.0,185,0.6583629893238434,13,0.046263345195729534,0,0.0,0,0.0,0,0.0,0.6423611111111112
results\ablation-v1.2\juxing_normal,model\juxing.ply,536,535,0.13,normal,3,2,535,0.0,0.3730203390479007,0.16850243661986017,0.13861743757990838,0.0911132975277228,0.06698899799087714,0.09744783093387205,0.13861743757990838,0.247319469687646,0.3100774720936624,0.33318925427548224,535,1.0,287,0.5364485981308411,0,0.0,0,0.0,0,0.0,0,0.0,0.5354477611940298
results\ablation-v1.2\juxing_cone,model\juxing.ply,2647,2636,0.13,cone,3,2,2615,0.0,0.37549377339940204,0.1584346089913509,0.13493739414346906,0.08895435366546844,0.059250995769498625,0.08486640478006675,0.13493739414346906,0.22543623176954225,0.2948586495373183,0.32752569037710133,2615,1.0,1354,0.5177820267686425,0,0.0,0,0.0,0,0.0,0,0.0,0.511522478277295
results\ablation-v1.2\shuilongtou_global,model\shuilongtou.ply,472,467,0.13,global,3,2,266,0.0,0.3449341147491375,0.1401701573673007,0.14199781964416858,0.08603604877986515,0.0,0.08034256016926455,0.14199781964416858,0.19346865894240797,0.26386375366568426,0.28948791978179056,266,1.0,147,0.5526315789473685,0,0.0,0,0.0,0,0.0,0,0.0,0.3114406779661017
results\ablation-v1.2\shuilongtou_normal,model\shuilongtou.ply,949,920,0.13,normal,3,2,470,0.0,0.4325545573853536,0.13490140565354725,0.12602136164340821,0.08449165725416433,0.0,0.07583051234567331,0.12602136164340821,0.19339334442873823,0.23982085739998277,0.27349953710354086,470,1.0,224,0.4765957446808511,0,0.0,0,0.0,0,0.0,0,0.0,0.23603793466807166
results\ablation-v1.2\shuilongtou_cone,model\shuilongtou.ply,4726,4542,0.13,cone,3,2,2336,0.0,0.4325545573853536,0.1309646511173585,0.12423351773684033,0.08511727939464366,0.0,0.06941507470465705,0.12423351773684033,0.18817369765472042,0.2436061380885543,0.27314149119113523,2336,1.0,1115,0.4773116438356164,0,0.0,0,0.0,0,0.0,0,0.0,0.23592890393567498
results\ablation-v1.2\cat_global,model\colmap\cat.ply,284,273,0.13,global,3,2,273,0.0,0.4298259531607112,0.06267457876307495,0.0,0.09887763246780025,0.0,0.0,0.0,0.10615935581701791,0.22538698703765858,0.275492754108158,273,1.0,57,0.2087912087912088,0,0.0,0,0.0,0,0.0,0,0.0,0.2007042253521127
results\ablation-v1.2\cat_normal,model\colmap\cat.ply,459,430,0.13,normal,3,2,430,0.0,0.333413382742828,0.051117386289859706,0.0,0.079065054761547,0.0,0.0,0.0,0.10909265616806964,0.18525343780362463,0.21017550236983687,430,1.0,91,0.2116279069767442,0,0.0,0,0.0,0,0.0,0,0.0,0.19825708061002179
results\ablation-v1.2\cat_cone,model\colmap\cat.ply,2256,2147,0.13,cone,3,2,2147,0.0,0.38227433485315654,0.05414984597983675,0.0,0.08020705279549535,0.0,0.0,0.0,0.10604464420070324,0.1835123047410736,0.21606785722862343,2147,1.0,423,0.19701909641360038,0,0.0,0,0.0,0,0.0,0,0.0,0.1875
