object,grasp_count,top20_mean_score_v4,top20_mean_normal,top20_mean_support,top20_mean_stability,top100_mean_score_v4,top100_mean_normal,top100_mean_support,top100_mean_stability,spearman_normal_vs_rank,spearman_support_vs_rank,spearman_stability_vs_rank
cat,4976,0.33646031547351674,0.8648668336245793,0.05710142649984138,0.8075016496647967,0.2825707260647299,0.8095241192106026,0.038462807149153844,0.7801280386151764,-0.7223932993713027,-0.43332699685899,-0.34477093042901447
huixing,3730,0.5713835777945053,0.9759409861851088,0.2205165859529583,0.8761716606884086,0.5196130723932908,0.9222115860915232,0.19169989473728613,0.8209352746217979,-0.8280696648190489,-0.7592219455954842,-0.6698709492189533
juxing,7129,0.6242622628447799,0.9774457327420307,0.26668156786199526,0.9344048862601377,0.5690409029772021,0.9480438238671651,0.2253888474776086,0.8705278283290651,-0.7500611783944972,-0.8083325298225392,-0.7934734960712454
sanjiao,8412,0.4446044661051065,0.8660254037844313,0.12977529123998555,0.7944549196342223,0.4152137920301969,0.8707457020386855,0.12189000297377975,0.726394544643551,-0.8688085563125691,-0.21005562719150148,-0.28614071497171517
shuilongtou,6061,0.4225832805078234,0.9866559205305467,0.08479263623949583,0.912139926404431,0.3751258245069025,0.9300362560203242,0.07054628238432854,0.8331167310909077,-0.7782723541955909,-0.651041887255799,-0.577277893511852
yuanzhu,3948,0.5058256536329547,0.8145732991966737,0.20967861952675054,0.7707501551968057,0.4344449506619116,0.848298683914756,0.13434806619611114,0.7831147697205716,-0.8117490644093422,-0.8200257553587713,-0.7331008913958188
