result_dir,object,mode,grasp_count,old_top1_record_index,v4_top1_record_index,old_topk_mean_score,v4_topk_mean_score,old_topk_center_distance_normalized,v4_topk_center_distance_normalized,old_topk_support,v4_topk_support,old_topk_normal,v4_topk_normal,topk_overlap
results\ours-main\cat,model\colmap\cat.ply,cone,4976,0,1588,0.9752967842032032,0.33646031547351674,0.6896565841278649,0.2675863341841392,0.025408652386130087,0.05710142649984138,0.6320932620701576,0.8648668336245793,0
results\ours-main\huixing,model\huixing.ply,cone,3730,0,21,0.9850927800233531,0.5713835777945053,0.19925145472699177,0.20476421989964053,0.1275612001636219,0.2205165859529583,0.9924628959824826,0.9759409861851088,2
results\ours-main\juxing,model\juxing.ply,cone,7129,0,4642,0.9899003314227613,0.6242622628447799,0.44208793894293363,0.15268612703119017,0.031224594756782,0.26668156786199526,0.7233377151941486,0.9774457327420307,0
results\ours-main\sanjiao,model\sanjiao.ply,cone,8412,0,2365,0.9983425128966372,0.4446044661051065,0.28778029459819354,0.2825290831321642,0.0102257748375458,0.12977529123998555,0.6560503368939988,0.8660254037844313,0
results\ours-main\shuilongtou,model\shuilongtou.ply,cone,6061,0,3596,0.9966448872743954,0.4225832805078234,0.8950574313509596,0.16697261763293295,0.012622060493178378,0.08479263623949583,0.6256919508755091,0.9866559205305467,0
results\ours-main\yuanzhu,model\yuanzhu.ply,cone,3948,0,517,0.999888377965753,0.5058256536329547,0.25273576085252514,0.3044276499701507,0.05103564758036083,0.20967861952675054,0.965042036007266,0.8145732991966737,0
