result_dir,object,mode,grasp_count,old_top1_score,diagnostic_top1_score,old_topk_mean_score,diagnostic_topk_mean_score,old_topk_center_distance_normalized,diagnostic_topk_center_distance_normalized,old_topk_support_score,diagnostic_topk_support_score,old_topk_normal_alignment,diagnostic_topk_normal_alignment
results\ours-main\cat,model\colmap\cat.ply,cone,4976,0.9781238705394034,0.6904717014717668,0.9752967842032032,0.678087269990239,0.6896565841278649,0.15149793019701777,0.04374183294218043,0.0549103194938886,0.5840611513081091,0.9294015502655597
results\ours-main\huixing,model\huixing.ply,cone,3730,0.9902084518111975,0.7524248523289379,0.9850927800233531,0.7384212299727481,0.19925145472699177,0.12995166266134223,0.1364383230001164,0.2068879760673906,0.9678281906882165,0.9678941151786195
results\ours-main\juxing,model\juxing.ply,cone,7129,0.9952797219953801,0.7762416138148371,0.9899003314227613,0.7624041935490561,0.44208793894293363,0.14124242370464396,0.06519775874929287,0.2661452802880423,0.7763860583506873,0.9840823068704994
results\ours-main\sanjiao,model\sanjiao.ply,cone,8412,0.9995739201472783,0.6982026201789601,0.9983425128966372,0.6876500278340882,0.28778029459819354,0.1351131315925359,0.045236241427461306,0.052452773144234445,0.7998546013642868,0.951511728549221
results\ours-main\shuilongtou,model\shuilongtou.ply,cone,6061,0.9966448872743953,0.7250484181532034,0.9966448872743954,0.7059913230501902,0.8950574313509596,0.1469130534153374,0.02588252955398601,0.09730738623927533,0.3573630665663794,0.9704278157075569
results\ours-main\yuanzhu,model\yuanzhu.ply,cone,3948,0.9999725950752161,0.7253341380112683,0.999888377965753,0.7125906539034168,0.25273576085252514,0.1564313947684796,0.0827912144444923,0.1191466773622265,0.9742455415281764,0.9764950701577593
