result_dir,object,generated_candidate_count,scored_candidate_count,refinement_input_count,closure_geometry_rejected,closure_pose_collision_rejected,closure_valid_count,unique_grasp_count,closure_acceptance_rate,merge_retention_rate,mean_score,top1_score,top20_mean_score,generation_s,scoring_s,merge_s,total_s
results\ours-main\juxing,model\juxing.ply,7504,7504,7504,0,29,7475,7129,0.99613539445629,0.9537123745819398,0.691277589470338,0.9952797219953801,0.9899003314227613,464.32203630008735,5.782922700047493,96.60372460004874,597.2124181999825
results\ours-main\yuanzhu,model\yuanzhu.ply,4132,4132,4132,0,135,3997,3948,0.9673281703775412,0.9877408056042032,0.6864148701000717,0.9999725950752161,0.999888377965753,514.1084159000311,2.9671189000364393,30.14781290013343,565.8178993000183
results\ours-main\sanjiao,model\sanjiao.ply,8757,8757,8757,0,158,8599,8412,0.9819572913098092,0.9782532852657285,0.6094853812336951,0.9995739201472783,0.9983425128966374,809.0323323002085,7.996476700063795,157.06747370003723,1053.9200689999852
results\ours-main\huixing,model\huixing.ply,3849,3849,3849,0,119,3730,3730,0.9690828786697844,1.0,0.577610824391992,0.9902084518111975,0.9850927800233531,556.6550925998017,3.168192300014198,29.36906379996799,606.1710808000062
results\ours-main\shuilongtou,model\shuilongtou.ply,12197,12197,12197,0,274,11923,6061,0.9775354595392309,0.5083452151304202,-0.5638346634368626,0.9966448872743953,0.9966448872743957,606.8717376999557,11.422938199946657,144.06859870022163,870.2415889999829
results\ours-main\cat,model\colmap\cat.ply,5527,5527,5527,0,290,5237,4976,0.9475303057716664,0.9501623066641207,0.22140227658304557,0.9781238705394034,0.975296784203203,740.563296899898,4.400715900119394,50.01684989989735,832.8815321000293
