result_dir,object,mode,num_views,anchors_per_view,unique_grasp_count,score_min,score_max,score_mean,score_median,score_std,score_p10,score_p25,score_p50,score_p75,score_p90,score_p95,score_ge_0_count,score_ge_0_ratio,score_ge_0_5_count,score_ge_0_5_ratio,score_ge_0_8_count,score_ge_0_8_ratio,score_ge_0_9_count,score_ge_0_9_ratio,score_ge_0_95_count,score_ge_0_95_ratio
results\ours-main\juxing,model\juxing.ply,cone,5,3,7129,-0.0002567427873894701,0.9952797219953801,0.6912775894703482,0.7337867827344112,0.19274316192966678,0.4043234460525332,0.5850923466303887,0.7337867827344112,0.8444702983704917,0.8934230404120597,0.9256077077828357,7123,0.9991583672324309,5848,0.8203114041240006,2555,0.3583952868565016,609,0.08542572590826203,187,0.026230887922569786
results\ours-main\yuanzhu,model\yuanzhu.ply,cone,5,3,3948,-0.41658302135932257,0.9999725950752161,0.6864148701000762,0.7089699800120473,0.2214069430870715,0.37841642559758476,0.5376534882854217,0.7089699800120473,0.8614727135400826,0.9567483609311884,0.9674343233108381,3929,0.9951874366767984,3162,0.8009118541033434,1481,0.37512664640324217,702,0.1778115501519757,490,0.12411347517730496
results\ours-main\sanjiao,model\sanjiao.ply,cone,5,3,8412,-0.9262643874331167,0.9995739201472783,0.6094853812336878,0.6726502336534824,0.25995919988516436,0.24375236786191873,0.4465103425390242,0.6726502336534824,0.8241781852431368,0.9001801110033901,0.9411307635508309,8261,0.9820494531621493,5635,0.6698763670946267,2368,0.2815026153114598,844,0.10033285782215882,343,0.04077508321445554
results\ours-main\huixing,model\huixing.ply,cone,5,3,3730,-0.284123759358942,0.9902084518111975,0.5776108243919931,0.5837643412245317,0.24211680435699243,0.24034323772226313,0.39959655760518203,0.5837643412245317,0.7800405608898778,0.8862145829935801,0.9316719608641889,3715,0.9959785522788204,2339,0.6270777479892762,811,0.21742627345844504,304,0.08150134048257372,125,0.03351206434316354
results\ours-main\shuilongtou,model\shuilongtou.ply,cone,5,3,6061,-0.9999966947773554,0.9966448872743953,-0.5638346634368605,-0.9112352930694533,0.6751240562537039,-0.9932681979633786,-0.9763452598355681,-0.9112352930694533,-0.62567940931506,0.8221315184421295,0.9113483020011864,1119,0.18462299950503216,1077,0.17769344992575484,713,0.11763735357201782,368,0.060716053456525323,169,0.027883187592806467
results\ours-main\cat,model\colmap\cat.ply,cone,5,3,4976,-0.9982812040109437,0.9781238705394034,0.22140227658304457,0.31949492288114995,0.44891151122404455,-0.48992052107230205,-0.030230572461934335,0.31949492288114995,0.5533444831306437,0.7471975043127075,0.8257200208440132,3651,0.7337218649517685,1528,0.3070739549839228,310,0.06229903536977492,82,0.01647909967845659,34,0.006832797427652733
