object,grasp_count,score_v4_normal_min,score_v4_normal_p10,score_v4_normal_p25,score_v4_normal_p50,score_v4_normal_p75,score_v4_normal_p90,score_v4_normal_p95,score_v4_normal_max,score_v4_normal_std,score_v4_support_min,score_v4_support_p10,score_v4_support_p25,score_v4_support_p50,score_v4_support_p75,score_v4_support_p90,score_v4_support_p95,score_v4_support_max,score_v4_support_std,score_v4_stability_min,score_v4_stability_p10,score_v4_stability_p25,score_v4_stability_p50,score_v4_stability_p75,score_v4_stability_p90,score_v4_stability_p95,score_v4_stability_max,score_v4_stability_std,score_total_v4_min,score_total_v4_p10,score_total_v4_p25,score_total_v4_p50,score_total_v4_p75,score_total_v4_p90,score_total_v4_p95,score_total_v4_max,score_total_v4_std
cat,4976,0.0,0.0,0.0,0.06638105814933531,0.3825778921252114,0.6132203048430684,0.7222582917237438,0.9546591520544094,0.2544719116523991,0.0,0.0,0.0,0.0036301378029257444,0.009459581569464977,0.01913392274271786,0.029447578884049433,0.16415762200076073,0.011846420059248196,0.02993554526598969,0.13885540746317804,0.20277490983630256,0.3353529355613202,0.6423397640005772,0.8938908906693277,0.9566020043959212,0.9996229272334985,0.27622958529888486,0.0,0.0,0.0,0.0,0.08008862821605894,0.14824372200058764,0.18849062962769358,0.3866012772285816,0.06898073562723886
huixing,3730,0.0,0.04055509779944987,0.2580311269051382,0.4853401225927879,0.7009858226649311,0.9182006910912586,0.9626190344937622,1.0,0.2920341994439843,0.0,0.0024680339443885735,0.007365988743834562,0.017015099715794284,0.03531369966855542,0.06821583000296652,0.11509161452067262,0.26140245639293136,0.04067772571356978,0.008276600287825928,0.0841009705460279,0.11872541233759396,0.21708451181199626,0.5861656766244574,0.9102601590659564,0.9502426713972022,0.9999154959347594,0.30919403565808334,0.0,0.0,0.05676050536494138,0.09725197929928235,0.21663237131576007,0.3520063134710603,0.42290127824620344,0.592149801726435,0.13331090161400413
juxing,7129,0.0,0.3176045502432981,0.4993854033736864,0.6979854542097458,0.8605723019241738,0.9434538545346662,0.965925826289066,1.0,0.22199270283602185,0.0,0.006360360097126334,0.01243680069582932,0.024642141590986565,0.04307468240280723,0.05936562408324506,0.09487376538863596,0.28403392623400026,0.03635795988276097,0.0045221118280579006,0.07069091630352095,0.12044628014094218,0.2864743834168301,0.6459286976041996,0.8753666975000338,0.944460662185844,0.9998716051085483,0.302236630141622,0.0,0.06289761778182268,0.09604109474471796,0.170154307813786,0.24827368332559666,0.32604676858773685,0.3663913617868883,0.643201720954474,0.10863201548748393
sanjiao,8412,0.0,0.0,0.0,0.2697425107900593,0.6209223954568658,0.7858722881253825,0.8660254037844387,0.999999938355643,0.30798812585238994,0.0,0.0019494177854311055,0.0049036752012085955,0.009438030157120901,0.019170388988003762,0.05438050857031258,0.10109901849387856,0.23050530794572463,0.03415665491319197,0.0033303983523982244,0.08638431799977593,0.13620969572525082,0.25325316087336086,0.5408449282578107,0.8554318812208808,0.9317230871330675,0.9998031531423209,0.2829761009000322,0.0,0.0,0.0,0.06573219307250756,0.12434865994855296,0.18318822367389967,0.22614394424242837,0.45318471093844354,0.08435804449958116
shuilongtou,6061,0.0,0.0,0.35593718124634266,0.5967871333675764,0.7605535644533845,0.8629593685457357,0.9086870232067841,0.9999974510892706,0.2773200445410895,0.0,0.0030369727216251964,0.00665939628865486,0.012465493010174434,0.022156458012472773,0.03630295394179115,0.05055438586866238,0.10714981527609947,0.016071266023877744,0.0017195034271232025,0.08095297298446426,0.16249949975531114,0.3590423514654692,0.6604086019892799,0.8817639937336291,0.9370976422158588,0.999598856177568,0.2920813347952229,0.0,0.0,0.06892808657950746,0.12214555960986016,0.18512997698347217,0.24681365398871383,0.28259124624070575,0.4495230153069482,0.08579274896912477
yuanzhu,3948,0.0,0.2567715291522455,0.4254805848790719,0.6082493852096849,0.8085543668403571,0.9105910971899446,0.9364964726876109,0.9903163413863044,0.2503622500185812,0.0,0.0026072108794038835,0.008860803797829211,0.021985469121924076,0.04526858100463327,0.0644477007159401,0.08196023423950202,0.26810638942783827,0.03170683875225247,0.026825778785066562,0.1222147643578044,0.16549229246780395,0.3500133670892055,0.7412577738665461,0.9313819336682058,0.9688511134599169,0.9989268259752688,0.3095716445648364,0.0,0.03314952828580566,0.08610388465937051,0.15636384246779683,0.2680258911442931,0.33818964075000413,0.36485061317536943,0.5773044636393923,0.11445102255323363
