angle_deg,base_id,depth,id,length,opening,score_angle_diff,score_angle_ymax,score_angle_ymin,score_force_closure,score_inner_points_ratio,score_proj_area,score_proj_area_ratio,score_y0_diff,score_y_diff,score_zmax,score_zmin,width,final_score,
30,28,10,160,100,90,9.999583434918861,131.7474309244155,141.74701435933437,0.6658482063348977,0.003848003848003848,40.76418269046405,0.027176121793642698,58.1596036388661,17.92640432319481,-0.25916376,-4.345575379,15,0.5,6.588493302
15,17,20,281,100,90,3.086321327649415,158.2539537222732,161.3402750499226,0.9288351118628184,0.007575757575757576,162.96632305257558,0.10864421536838371,49.56927646306581,20.922590207639665,-0.202667345,-13.2899151,15,3,6.832965923
30,29,20,293,100,105,9.631630657161395,145.21434518762914,135.58271453046774,0.7142615596961988,0.008297258297258298,187.28373877123445,0.12485582584748964,57.250519088545644,28.553845868433406,-0.3767184,-14.34557538,15,2,6.702601368
45,41,20,305,100,120,5.461215922545364,131.61051824685853,126.14930232431317,0.5898913987453838,0.00962000962000962,213.89520078191399,0.142596800521276,68.48091790032998,38.449679527217526,-0.3767184,-17.99783882,15,1,6.644656007
150,118,20,382,100,120,58.10765124567121,84.10929653374168,142.2169477794129,-0.102631139,0.006132756132756133,95.8264125940812,0.0638842750627208,9.577453405354817,83.04679507027396,-0.43027959,-8.844851855,15,1,6.14177801
165,127,20,391,100,90,6.429118896125914,132.26723596947758,138.6963548656035,0.6725894459691574,0.00481000481000481,75.38491274939481,0.050256608499596546,48.15862063220452,18.479516651771164,-2.521196556,-10.19896395,15,3,6.413216543
15,19,30,415,100,120,18.897339884532954,158.25395372227428,139.35661383774132,0.7587782954519577,0.015392015392015393,312.5360036483285,0.20835733576555235,9.986682118155734,83.75962454250106,-0.038068585,-23.2899151,15,3,6.844304987
30,30,30,426,100,120,33.377638248874476,145.21434518762874,111.83670693875426,0.3719625964658709,0.014911014911014911,338.4708716522595,0.22564724776817302,1.0866513790140928,90.10029453616991,-0.152760488,-24.34557538,15,2.5,6.614269806
45,42,30,438,100,135,44.04661107754613,134.233054430696,90.18644335314987,0.0032540446056140353,0.015752765752765754,365.98722534287276,0.24399148356191516,13.041908888665247,102.5143166112921,-0.194546488,-27.99783882,15,2,6.403979799
135,109,30,505,100,150,9.84068033736989,145.76017402481315,135.91949368744326,0.718363018746572,0.020081770081770083,222.53646269246858,0.14835764179497904,17.702844998202238,124.392695476217,-0.028281448,-17.31168101,15,3.5,6.769096054
