result_dir,object,generated_candidate_count,scored_candidate_count,refinement_input_count,closure_geometry_rejected,closure_pose_collision_rejected,closure_valid_count,unique_grasp_count,closure_acceptance_rate,merge_retention_rate,mean_score,top1_score,top20_mean_score,generation_s,scoring_s,merge_s,total_s
results\ablation\juxing_global,model\juxing.ply,288,288,288,0,7,281,281,0.9756944444444444,1.0,0.6669471400744212,0.9950124966706191,0.975039439600686,18.07901190011762,0.20704949996434152,0.1942324999254197,20.41445150016807
results\ablation\juxing_normal,model\juxing.ply,536,536,536,0,1,535,535,0.9981343283582089,1.0,0.6515972911766302,0.967331375883337,0.9666285962565733,35.067410700023174,0.3899560000281781,0.5871496999170631,38.55830950010568
results\ablation\juxing_cone,model\juxing.ply,2647,2647,2647,0,11,2636,2615,0.9958443520967133,0.9920333839150227,0.6658335712061961,0.9711765242253725,0.9686771778030492,205.489215800073,2.2062212999444455,14.67037079995498,235.11252069985494
results\ablation\shuilongtou_global,model\shuilongtou.ply,472,472,472,0,5,467,276,0.989406779661017,0.5910064239828694,-0.7814096295291777,0.4304981284835661,0.0289661650859321,21.059993000002578,0.3971141998190433,0.33454700000584126,26.39950029994361
results\ablation\shuilongtou_normal,model\shuilongtou.ply,949,949,949,0,29,920,491,0.9694415173867229,0.533695652173913,-0.7058769082731639,0.9964483482154274,0.9801591140389997,51.263851899886504,0.8402941999956965,1.0399839000310749,63.01946340012364
results\ablation\shuilongtou_cone,model\shuilongtou.ply,4726,4726,4726,0,184,4542,2420,0.9610664409648751,0.5328049317481286,-0.7089930774673269,0.9964483482154274,0.996110619646166,283.22849659994245,4.435784300090745,28.9141422000248,365.8324634998571
results\ablation\cat_global,model\colmap\cat.ply,284,284,284,0,11,273,273,0.9612676056338029,1.0,0.11116384403660919,0.9320891992133971,0.8724025479588116,32.155892399838194,0.20938199991360307,0.16430049994960427,35.4883361000102
results\ablation\cat_normal,model\colmap\cat.ply,459,459,459,0,29,430,430,0.9368191721132898,1.0,0.14342739726026268,0.9573244907263632,0.8745162022266308,56.74142480012961,0.34213509992696345,0.383147899992764,61.14455880015157
results\ablation\cat_cone,model\colmap\cat.ply,2256,2256,2256,0,109,2147,2147,0.9516843971631206,1.0,0.148064938154346,0.9822367791456319,0.9367229703551855,302.4903103997931,1.7685310998931527,8.705072300042957,342.02883849991485
