result_dir,object,mode,num_views,anchors_per_view,unique_grasp_count,score_min,score_max,score_mean,score_median,score_std,score_p10,score_p25,score_p50,score_p75,score_p90,score_p95,score_ge_0_count,score_ge_0_ratio,score_ge_0_5_count,score_ge_0_5_ratio,score_ge_0_8_count,score_ge_0_8_ratio,score_ge_0_9_count,score_ge_0_9_ratio,score_ge_0_95_count,score_ge_0_95_ratio
results\ablation\juxing_global,model\juxing.ply,global,3,2,281,-0.09895225455635942,0.9950124966706191,0.6669471400744218,0.7071067741154796,0.230040787477095,0.29796537250586114,0.5238588911000019,0.7071067741154796,0.8660253951241849,0.9418425316524246,0.9659258166298093,279,0.9928825622775801,216,0.7686832740213523,94,0.33451957295373663,41,0.14590747330960854,23,0.08185053380782918
results\ablation\juxing_normal,model\juxing.ply,normal,3,2,535,0.09201498483468516,0.967331375883337,0.6515972911766282,0.6974007481030957,0.21390391362911934,0.3284466008533899,0.49633426719239726,0.6974007481030957,0.83950677087974,0.9019016269062011,0.9565875823944623,535,1.0,394,0.7364485981308411,156,0.29158878504672897,54,0.10093457943925234,41,0.07663551401869159
results\ablation\juxing_cone,model\juxing.ply,cone,3,2,2615,-0.13480239005865982,0.9711765242253725,0.665833571206198,0.7004670161777969,0.20336041692767037,0.355372697764206,0.516966294437599,0.7004670161777969,0.8414209569171933,0.8894905250682623,0.9275665400465553,2613,0.9992351816443594,2007,0.7674952198852772,838,0.3204588910133843,235,0.08986615678776291,99,0.0378585086042065
results\ablation\shuilongtou_global,model\shuilongtou.ply,global,3,2,276,-0.9998881489078996,0.4304981284835661,-0.7814096295291769,-0.9155442883867699,0.29537884615222976,-0.9943852655474872,-0.9744787002261599,-0.9155442883867699,-0.7296665972924594,-0.3653720672019143,-0.16759301319769968,9,0.03260869565217391,0,0.0,0,0.0,0,0.0,0,0.0
results\ablation\shuilongtou_normal,model\shuilongtou.ply,normal,3,2,491,-0.9998827149471261,0.9964483482154274,-0.7058769082731636,-0.9216158808396525,0.5383311657016707,-0.9870319160017567,-0.9742276124682215,-0.9216158808396525,-0.746153713788617,-0.1635536166066827,0.9011982558340681,47,0.09572301425661914,46,0.09368635437881874,37,0.07535641547861507,26,0.05295315682281059,19,0.038696537678207736
results\ablation\shuilongtou_cone,model\shuilongtou.ply,cone,3,2,2420,-0.9999385280087174,0.9964483482154274,-0.7089930774673262,-0.9346170128416429,0.5406138167332772,-0.9937125291252177,-0.9796251530687456,-0.9346170128416429,-0.7944675738636273,0.09312009175294093,0.8780241357484024,243,0.10041322314049586,227,0.09380165289256198,169,0.06983471074380165,105,0.04338842975206612,80,0.03305785123966942
results\ablation\cat_global,model\colmap\cat.ply,global,3,2,273,-0.9919833188106516,0.9320891992133971,0.11116384403660846,0.1066622317335338,0.48491606179705754,-0.6209963053284134,-0.20128169809732188,0.1066622317335338,0.5133934698106956,0.767281818098679,0.8343524642799438,145,0.5311355311355311,70,0.2564102564102564,23,0.08424908424908426,6,0.02197802197802198,0,0.0
results\ablation\cat_normal,model\colmap\cat.ply,normal,3,2,430,-0.9510029644583221,0.9573244907263632,0.1434273972602637,0.1778312521887644,0.41098574410063804,-0.31844685358671493,-0.14616456184122883,0.1778312521887644,0.5074449062001715,0.6252008224965159,0.7890943500899422,266,0.6186046511627907,109,0.2534883720930233,21,0.04883720930232558,6,0.013953488372093023,2,0.004651162790697674
results\ablation\cat_cone,model\colmap\cat.ply,cone,3,2,2147,-0.9853994055517867,0.9822367791456319,0.14806493815434782,0.20710079815623333,0.4523381809611369,-0.5229154467440214,-0.16253737001518895,0.20710079815623333,0.517977882857576,0.705766163425715,0.8084498828711093,1364,0.6353050768514206,567,0.264089427107592,113,0.05263157894736842,33,0.015370284117373078,6,0.0027945971122496508
